"FA","TR"
0.209258928894997,807.606567382812
0.261705011129379,773.007629394531
0.210011884570122,783.0830078125
0.147864758968353,663.223388671875
0.187856435775757,730.924987792969
0.195785984396935,650.682861328125
0.120968043804169,622.597778320312
0.109861195087433,660.003356933594
0.155010432004929,609.637878417969
0.0892388299107552,585.544982910156
0.138787999749184,658.704528808594
0.09848602861166,559.6953125
0.0826842188835144,583.421142578125
0.18398243188858,690.541076660156
0.0952930971980095,554.060668945312
0.0959321707487106,588.707946777344
0.0935289710760117,498.684631347656
0.0890278890728951,518.073059082031
0.116718597710133,522.671691894531
0.134544730186462,633.789611816406
0.104354232549667,544.335998535156
0.205356419086456,688.631713867188
0.292573243379593,814.910400390625
0.259609282016754,736.795166015625
0.20256906747818,793.885375976562
0.210085853934288,709.56298828125
0.156506285071373,581.502685546875
0.167785868048668,749.255737304688
0.146628081798553,622.474365234375
0.107052154839039,545.86376953125
0.117989882826805,647.798950195312
0.0914873480796814,547.430053710938
0.0766374245285988,424.976196289062
0.272269785404205,800.103393554688
0.252749860286713,823.465576171875
0.249065577983856,780.051147460938
0.215423598885536,623.538513183594
0.191148653626442,689.027282714844
