"x","y","z"
52,56,28
52,57,26
52,57,27
52,57,28
52,57,29
52,58,26
52,58,27
52,58,28
52,59,26
52,59,27
52,59,28
52,60,26
52,60,27
52,61,25
52,61,26
52,61,27
52,61,28
52,62,26
52,62,27
53,51,26
53,51,27
53,51,28
53,51,29
53,52,26
53,52,27
53,52,28
53,52,29
53,52,30
53,53,27
53,53,28
53,53,29
53,54,26
53,54,27
53,54,28
53,55,26
53,55,27
53,55,28
53,56,25
53,56,26
53,56,27
53,56,28
53,57,25
53,57,26
53,57,27
53,57,28
53,57,29
53,58,25
53,58,26
53,58,27
53,58,28
53,59,24
53,59,25
53,59,26
53,59,27
53,59,28
53,60,24
53,60,25
53,60,26
53,60,27
53,60,28
53,61,25
53,61,26
53,61,27
53,61,28
53,62,25
53,62,26
53,62,27
53,62,28
53,63,25
53,63,26
53,63,27
53,64,26
54,44,23
54,44,24
54,45,22
54,45,23
54,45,24
54,46,23
54,46,24
54,46,25
54,47,23
54,47,24
54,47,25
54,48,23
54,48,24
54,48,25
54,49,24
54,49,25
54,50,24
54,50,25
54,51,24
54,51,25
54,51,26
54,51,27
54,51,28
54,51,29
54,51,30
54,52,24
54,52,25
54,52,26
54,52,27
54,52,28
54,52,29
54,52,30
54,52,31
54,52,32
54,52,33
54,52,34
54,53,25
54,53,26
54,53,27
54,53,28
54,53,29
54,53,30
54,53,31
54,53,32
54,53,33
54,54,24
54,54,25
54,54,26
54,54,27
54,54,28
54,54,29
54,54,30
54,54,31
54,54,32
54,55,24
54,55,25
54,55,26
54,55,27
54,55,28
54,55,29
54,55,30
54,56,24
54,56,25
54,56,26
54,56,27
54,56,28
54,56,29
54,57,24
54,57,25
54,57,26
54,57,27
54,57,28
54,57,29
54,58,23
54,58,24
54,58,25
54,58,26
54,58,27
54,58,28
54,59,23
54,59,24
54,59,25
54,59,26
54,59,27
54,60,23
54,60,24
54,60,25
54,60,26
54,60,27
54,60,28
54,61,23
54,61,24
54,61,25
54,61,26
54,61,27
54,62,24
54,62,25
54,62,26
54,62,27
54,63,24
54,63,25
54,63,26
54,63,27
54,63,28
54,64,25
54,64,26
54,64,27
55,43,23
55,43,24
55,44,23
55,44,24
55,45,23
55,45,24
55,45,25
55,46,23
55,46,24
55,46,25
55,46,26
55,47,23
55,47,24
55,47,25
55,47,26
55,47,27
55,48,23
55,48,24
55,48,25
55,48,26
55,49,23
55,49,24
55,49,25
55,49,26
55,50,23
55,50,24
55,50,25
55,50,26
55,51,23
55,51,24
55,51,25
55,51,26
55,51,27
55,51,28
55,51,29
55,51,30
55,51,32
55,51,33
55,51,34
55,51,35
55,52,23
55,52,24
55,52,25
55,52,26
55,52,27
55,52,28
55,52,29
55,52,30
55,52,31
55,52,32
55,52,33
55,52,34
55,53,23
55,53,24
55,53,25
55,53,26
55,53,27
55,53,28
55,53,29
55,53,30
55,53,31
55,53,32
55,53,33
55,53,34
55,54,23
55,54,24
55,54,25
55,54,26
55,54,27
55,54,28
55,54,29
55,54,30
55,54,31
55,54,32
55,54,33
55,55,23
55,55,24
55,55,25
55,55,26
55,55,27
55,55,28
55,55,29
55,55,30
55,55,31
55,55,32
55,56,23
55,56,24
55,56,25
55,56,26
55,56,27
55,56,28
55,56,29
55,56,30
55,57,22
55,57,23
55,57,24
55,57,25
55,57,26
55,57,27
55,57,28
55,57,29
55,57,30
55,58,22
55,58,23
55,58,24
55,58,25
55,58,26
55,58,27
55,58,28
55,59,22
55,59,23
55,59,24
55,59,25
55,59,26
55,59,27
55,60,22
55,60,23
55,60,24
55,60,25
55,60,26
55,60,27
55,61,22
55,61,23
55,61,24
55,61,25
55,61,26
55,62,22
55,62,23
55,62,24
55,62,25
55,62,26
55,63,23
55,63,24
55,63,25
55,63,26
55,63,27
55,64,25
55,64,26
55,65,25
56,36,25
56,37,25
56,44,23
56,44,24
56,44,25
56,44,26
56,44,27
56,45,23
56,45,24
56,45,25
56,45,26
56,45,27
56,45,28
56,46,22
56,46,23
56,46,24
56,46,25
56,46,26
56,46,27
56,46,28
56,46,29
56,47,22
56,47,23
56,47,24
56,47,25
56,47,26
56,47,27
56,47,28
56,47,29
56,48,23
56,48,24
56,48,25
56,48,26
56,48,27
56,48,28
56,49,22
56,49,23
56,49,24
56,49,25
56,49,26
56,49,27
56,49,28
56,50,21
56,50,22
56,50,23
56,50,24
56,50,25
56,50,26
56,50,27
56,51,21
56,51,22
56,51,23
56,51,24
56,51,25
56,51,26
56,51,27
56,51,28
56,51,29
56,51,30
56,51,31
56,51,32
56,51,33
56,51,34
56,51,35
56,52,22
56,52,23
56,52,24
56,52,25
56,52,26
56,52,27
56,52,28
56,52,29
56,52,30
56,52,31
56,52,32
56,52,33
56,52,34
56,53,22
56,53,23
56,53,24
56,53,25
56,53,26
56,53,27
56,53,28
56,53,29
56,53,30
56,53,31
56,53,32
56,53,33
56,53,34
56,54,22
56,54,23
56,54,24
56,54,25
56,54,26
56,54,27
56,54,28
56,54,29
56,54,30
56,54,31
56,54,32
56,54,33
56,55,22
56,55,23
56,55,24
56,55,25
56,55,26
56,55,27
56,55,28
56,55,29
56,55,30
56,55,31
56,55,32
56,56,21
56,56,22
56,56,23
56,56,24
56,56,25
56,56,26
56,56,27
56,56,28
56,56,29
56,56,30
56,56,31
56,57,21
56,57,22
56,57,23
56,57,24
56,57,25
56,57,26
56,57,27
56,57,28
56,57,29
56,57,30
56,58,21
56,58,22
56,58,23
56,58,24
56,58,25
56,58,26
56,58,27
56,58,28
56,58,29
56,59,20
56,59,21
56,59,22
56,59,23
56,59,24
56,59,25
56,59,26
56,59,27
56,60,20
56,60,21
56,60,22
56,60,23
56,60,24
56,60,25
56,60,26
56,61,20
56,61,21
56,61,22
56,61,23
56,61,24
56,61,25
56,61,26
56,62,21
56,62,22
56,62,23
56,62,24
56,62,25
56,62,26
56,63,22
56,63,23
56,63,24
56,63,25
56,63,26
56,63,27
56,64,24
56,64,25
56,64,26
57,33,26
57,34,24
57,35,23
57,35,24
57,35,25
57,35,26
57,35,28
57,36,24
57,36,25
57,36,26
57,36,28
57,37,23
57,37,24
57,37,25
57,37,26
57,37,27
57,38,24
57,38,25
57,38,26
57,38,30
57,38,31
57,38,32
57,39,23
57,39,26
57,39,27
57,39,28
57,39,29
57,39,30
57,39,31
57,39,32
57,39,33
57,40,23
57,40,26
57,40,27
57,40,28
57,40,29
57,40,30
57,40,31
57,40,32
57,40,33
57,41,25
57,41,26
57,41,27
57,41,29
57,41,30
57,42,22
57,42,25
57,42,26
57,42,27
57,43,22
57,43,23
57,43,24
57,43,25
57,43,26
57,43,27
57,43,28
57,44,22
57,44,23
57,44,24
57,44,25
57,44,26
57,44,27
57,44,28
57,44,29
57,44,30
57,45,22
57,45,23
57,45,24
57,45,25
57,45,26
57,45,27
57,45,28
57,45,29
57,45,30
57,46,22
57,46,23
57,46,24
57,46,25
57,46,26
57,46,27
57,46,28
57,46,29
57,46,30
57,47,22
57,47,23
57,47,24
57,47,25
57,47,26
57,47,27
57,47,28
57,47,29
57,47,30
57,48,22
57,48,23
57,48,24
57,48,25
57,48,26
57,48,27
57,48,28
57,48,29
57,49,21
57,49,22
57,49,23
57,49,24
57,49,25
57,49,26
57,49,27
57,49,28
57,49,29
57,50,21
57,50,22
57,50,23
57,50,24
57,50,25
57,50,26
57,50,27
57,50,28
57,51,21
57,51,22
57,51,23
57,51,24
57,51,25
57,51,26
57,51,27
57,51,28
57,51,29
57,51,30
57,51,31
57,51,32
57,51,33
57,51,34
57,51,35
57,52,21
57,52,22
57,52,23
57,52,24
57,52,25
57,52,26
57,52,27
57,52,28
57,52,29
57,52,30
57,52,31
57,52,32
57,52,33
57,52,34
57,53,21
57,53,22
57,53,23
57,53,24
57,53,25
57,53,26
57,53,27
57,53,28
57,53,29
57,53,30
57,53,31
57,53,32
57,53,33
57,53,34
57,54,20
57,54,21
57,54,22
57,54,23
57,54,24
57,54,25
57,54,26
57,54,27
57,54,28
57,54,29
57,54,30
57,54,31
57,54,32
57,54,33
57,55,20
57,55,21
57,55,22
57,55,23
57,55,24
57,55,25
57,55,26
57,55,27
57,55,28
57,55,29
57,55,30
57,55,31
57,55,32
57,56,21
57,56,22
57,56,23
57,56,24
57,56,25
57,56,26
57,56,27
57,56,28
57,56,29
57,56,30
57,56,31
57,57,20
57,57,21
57,57,22
57,57,23
57,57,24
57,57,25
57,57,26
57,57,27
57,57,28
57,57,29
57,57,30
57,57,31
57,58,20
57,58,21
57,58,22
57,58,23
57,58,24
57,58,25
57,58,26
57,58,27
57,58,28
57,58,29
57,59,20
57,59,21
57,59,22
57,59,23
57,59,24
57,59,25
57,59,26
57,59,27
57,59,28
57,60,20
57,60,21
57,60,22
57,60,23
57,60,24
57,60,25
57,60,26
57,60,27
57,61,20
57,61,21
57,61,22
57,61,23
57,61,24
57,61,25
57,62,20
57,62,21
57,62,22
57,62,23
57,62,24
57,62,25
57,63,22
57,63,23
57,63,24
58,31,25
58,32,25
58,32,26
58,33,24
58,33,25
58,33,26
58,33,27
58,34,23
58,34,24
58,34,25
58,34,26
58,34,27
58,34,28
58,34,29
58,35,23
58,35,24
58,35,25
58,35,26
58,35,27
58,35,28
58,36,23
58,36,24
58,36,25
58,36,26
58,36,27
58,36,28
58,36,29
58,37,23
58,37,24
58,37,25
58,37,26
58,37,27
58,37,28
58,37,29
58,37,31
58,37,32
58,38,22
58,38,23
58,38,24
58,38,25
58,38,26
58,38,27
58,38,28
58,38,29
58,38,30
58,38,31
58,38,32
58,38,33
58,39,23
58,39,24
58,39,25
58,39,26
58,39,27
58,39,28
