"FA","TR"
0.236077055335045,598.507751464844
0.268605202436447,759.73681640625
0.326024293899536,667.056640625
0.219164699316025,597.178955078125
0.314677149057388,758.660400390625
0.275105118751526,643.880004882812
0.16348047554493,552.12890625
0.0236833710223436,527.3759765625
0.273018270730972,706.52880859375
0.273964554071426,605.973083496094
0.139112055301666,546.076904296875
0.218748778104782,752.591552734375
0.308743804693222,653.62109375
0.28522989153862,619.201904296875
0.0961368754506111,557.725830078125
0.236771434545517,683.939575195312
0.211419031023979,537.509033203125
0.0935237780213356,435.653472900391
0.261713236570358,626.697509765625
